항목,당기,전기,당기_num,전기_num,year,table_index,source
Ⅰ. 유 동 자 산,62054773,60603694,62054773.0,60603694.0,2014,11,감사보고서_2014.htm
1. 현금및현금성자산,1643318,2030307,1643318.0,2030307.0,2014,11,감사보고서_2014.htm
2. 단기금융상품,26454093,27463345,26454093.0,27463345.0,2014,11,감사보고서_2014.htm
3. 단기매도가능금융자산,2137533,1488527,2137533.0,1488527.0,2014,11,감사보고서_2014.htm
4. 매출채권,18940786,17748978,18940786.0,17748978.0,2014,11,감사보고서_2014.htm
5. 미수금,3218973,2734572,3218973.0,2734572.0,2014,11,감사보고서_2014.htm
6. 선급금,977114,1007685,977114.0,1007685.0,2014,11,감사보고서_2014.htm
7. 선급비용,1846360,1373140,1846360.0,1373140.0,2014,11,감사보고서_2014.htm
8. 재고자산,5553834,5880463,5553834.0,5880463.0,2014,11,감사보고서_2014.htm
9. 기타유동자산,821079,876677,821079.0,876677.0,2014,11,감사보고서_2014.htm
10. 매각예정분류자산,461683,-,461683.0,0.0,2014,11,감사보고서_2014.htm
Ⅱ. 비 유 동 자 산,102005810,94222263,102005810.0,94222263.0,2014,11,감사보고서_2014.htm
1. 장기매도가능금융자산,7106234,3956952,7106234.0,3956952.0,2014,11,감사보고서_2014.htm
"2. 종속기업, 관계기업 및 공동기업 투자",41857431,42258049,41857431.0,42258049.0,2014,11,감사보고서_2014.htm
3. 유형자산,43744259,41439372,43744259.0,41439372.0,2014,11,감사보고서_2014.htm
4. 무형자산,3051564,2495302,3051564.0,2495302.0,2014,11,감사보고서_2014.htm
5. 장기선급비용,4415935,2951813,4415935.0,2951813.0,2014,11,감사보고서_2014.htm
6. 순확정급여자산,135951,-,135951.0,0.0,2014,11,감사보고서_2014.htm
7. 기타비유동자산,1694436,1120775,1694436.0,1120775.0,2014,11,감사보고서_2014.htm
자 산 총 계,164060583,154825957,164060583.0,154825957.0,2014,11,감사보고서_2014.htm
Ⅰ. 유 동 부 채,28208638,27597944,28208638.0,27597944.0,2014,11,감사보고서_2014.htm
1. 매입채무,4677527,5742116,4677527.0,5742116.0,2014,11,감사보고서_2014.htm
2. 단기차입금,2928182,2811565,2928182.0,2811565.0,2014,11,감사보고서_2014.htm
3. 미지급금,6460166,5404573,6460166.0,5404573.0,2014,11,감사보고서_2014.htm
4. 선수금,139803,141582,139803.0,141582.0,2014,11,감사보고서_2014.htm
5. 예수금,596164,514235,596164.0,514235.0,2014,11,감사보고서_2014.htm
6. 미지급비용,7413148,5952745,7413148.0,5952745.0,2014,11,감사보고서_2014.htm
7. 미지급법인세,1707176,2207118,1707176.0,2207118.0,2014,11,감사보고서_2014.htm
8. 유동성사채,5304,5083,5304.0,5083.0,2014,11,감사보고서_2014.htm
9. 충당부채,4246054,4805193,4246054.0,4805193.0,2014,11,감사보고서_2014.htm
10. 기타유동부채,14855,13734,14855.0,13734.0,2014,11,감사보고서_2014.htm
11. 매각예정분류부채,20259,-,20259.0,0.0,2014,11,감사보고서_2014.htm
Ⅱ. 비 유 동 부 채,3174870,4857246,3174870.0,4857246.0,2014,11,감사보고서_2014.htm
1. 사채,63648,66079,63648.0,66079.0,2014,11,감사보고서_2014.htm
2. 장기미지급금,2305055,769002,2305055.0,769002.0,2014,11,감사보고서_2014.htm
3. 순확정급여부채,-,1500222,0.0,1500222.0,2014,11,감사보고서_2014.htm
4. 이연법인세부채,364366,1954171,364366.0,1954171.0,2014,11,감사보고서_2014.htm
5. 장기충당부채,437974,415718,437974.0,415718.0,2014,11,감사보고서_2014.htm
6. 기타비유동부채,3827,152054,3827.0,152054.0,2014,11,감사보고서_2014.htm
부 채 총 계,31383508,32455190,31383508.0,32455190.0,2014,11,감사보고서_2014.htm
Ⅰ. 자본금,897514,897514,897514.0,897514.0,2014,11,감사보고서_2014.htm
1. 우선주자본금,119467,119467,119467.0,119467.0,2014,11,감사보고서_2014.htm
2. 보통주자본금,778047,778047,778047.0,778047.0,2014,11,감사보고서_2014.htm
Ⅱ. 주식발행초과금,4403893,4403893,4403893.0,4403893.0,2014,11,감사보고서_2014.htm
Ⅲ. 이익잉여금,134464189,122029419,134464189.0,122029419.0,2014,11,감사보고서_2014.htm
Ⅳ. 기타자본항목,"(7,113,271)","(4,960,059)",-7113271.0,-4960059.0,2014,11,감사보고서_2014.htm
Ⅴ. 매각예정분류기타자본항목,24750,-,24750.0,0.0,2014,11,감사보고서_2014.htm
자 본 총 계,132677075,122370767,132677075.0,122370767.0,2014,11,감사보고서_2014.htm
부채와자본총계,164060583,154825957,164060583.0,154825957.0,2014,11,감사보고서_2014.htm
Ⅰ. 매 출 액,137825547.0,158372089.0,137825547.0,158372089.0,2014,14,감사보고서_2014.htm
Ⅱ. 매 출 원 가,99188713.0,110731528.0,99188713.0,110731528.0,2014,14,감사보고서_2014.htm
Ⅲ. 매 출 총 이 익,38636834.0,47640561.0,38636834.0,47640561.0,2014,14,감사보고서_2014.htm
판매비와관리비,24711840.0,25833556.0,24711840.0,25833556.0,2014,14,감사보고서_2014.htm
Ⅳ. 영 업 이 익,13924994.0,21807005.0,13924994.0,21807005.0,2014,14,감사보고서_2014.htm
기 타 수 익,3507303.0,3130308.0,3507303.0,3130308.0,2014,14,감사보고서_2014.htm
기 타 비 용,706929.0,792210.0,706929.0,792210.0,2014,14,감사보고서_2014.htm
금 융 수 익,4289118.0,3918900.0,4289118.0,3918900.0,2014,14,감사보고서_2014.htm
금 융 비 용,3733845.0,3846744.0,3733845.0,3846744.0,2014,14,감사보고서_2014.htm
Ⅴ. 법인세비용차감전순이익,17280641.0,24217259.0,17280641.0,24217259.0,2014,14,감사보고서_2014.htm
법 인 세 비 용,2688860.0,6287739.0,2688860.0,6287739.0,2014,14,감사보고서_2014.htm
Ⅵ. 당 기 순 이 익,14591781.0,17929520.0,14591781.0,17929520.0,2014,14,감사보고서_2014.htm
기본주당이익(단위:원),96784.0,118946.0,96784.0,118946.0,2014,14,감사보고서_2014.htm
희석주당이익(단위:원),96779.0,118921.0,96779.0,118921.0,2014,14,감사보고서_2014.htm
Ⅰ. 당기순이익,14591781,17929520,14591781.0,17929520.0,2014,17,감사보고서_2014.htm
Ⅱ. 기타포괄손익,"(1,026,468)","(269,819)",-1026468.0,-269819.0,2014,17,감사보고서_2014.htm
후속적으로 당기손익으로 재분류되지 않는 포괄손익,"(572,373)","(165,832)",-572373.0,-165832.0,2014,17,감사보고서_2014.htm
1. 순확정급여부채 재측정요소,"(572,373)","(165,832)",-572373.0,-165832.0,2014,17,감사보고서_2014.htm
후속적으로 당기손익으로 재분류되는 포괄손익,"(454,095)","(103,987)",-454095.0,-103987.0,2014,17,감사보고서_2014.htm
1. 매도가능금융자산평가손익,"(454,095)","(103,987)",-454095.0,-103987.0,2014,17,감사보고서_2014.htm
Ⅲ. 총포괄이익,13565313,17659701,13565313.0,17659701.0,2014,17,감사보고서_2014.htm
